producto;presentacion;marca;categoria;catalogo;precio;fechaRegistro;cadenaComercial;giro;nombreComercial;direccion;estado;municipio;latitud;longitud
MOSTAZA;FRASCO 210 GR.;MC CORMICK;CONDIMENTOS;MERCADOS;8.55;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
MOSTAZA;FRASCO 430 GR.;MC CORMICK;CONDIMENTOS;BASICOS;13.96;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
JUGO DE FRUTA;CAJA 946 ML. NARANJA;ADES;REFRESCOS ENVASADOS;BASICOS;13.84;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
AGUA SIN GAS;BOTELLA 1.5 LT.;CIEL;REFRESCOS ENVASADOS;BASICOS;5.9;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
AGUA SIN GAS;BOTELLA 1.5 LT.;EVIAN;REFRESCOS ENVASADOS;BASICOS;24.55;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
CERVEZA;PAQUETE CON 8 LATAS DE 340 ML.;DOS EQUIS LAGER ESPECIAL;CERVEZA;BASICOS;80,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
FLAN;CAJA 35 GR. CON CARAMELO (50 GR. CARAMELO);JELL-O;CHOCOLATES Y GOLOSINAS;BASICOS;7.91;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
FLAN;CAJA 84 GR. CON CARAMELO (52 GR. CARAMELO);PRONTO;CHOCOLATES Y GOLOSINAS;BASICOS;8.15;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
POLVO P/BEBIDAS SABOR CHOCOLATE;BOLSA 375 GR.;NESQUIK;CHOCOLATES Y GOLOSINAS;MERCADOS;20.16;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
SALSA PICANTE;BOTELLA 370 ML. ETIQUETA AMARILLA;VALENTINA;CONDIMENTOS;BASICOS;5,00;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
SAL MOLIDA DE MESA;BOTE 1 KG.;LA FINA;CONDIMENTOS;MERCADOS;8.5;2011-01-10 00:00:00.000;COMERCIAL MEXICANA;TIENDA DE AUTOSERVICIO;COMERCIAL MEXICANA SUCURSAL VILLAS DE LA HACIENDA;AV. LAGO DE GUADALUPE S/N ESQ. DE LAS VILLAS;MÉXICO;ATIZAPAN                                ;NA;NA
